clean_document_sentences,reader_attention_of_each_word,average_reader_attention,sentence_length
l air seuls monde deux adversaires tombés bras l un l autre coup sifflet final,"[4.642315927246931831e-289, 2.6479307763270340811e-455, 3.4081180162858311856e-222, 1.0695745955705319784e-343, 3.1005496499252532778e-410, 1.9181558748771491076e-402, 2.5460650731320088295e-393, 2.8599455147477266425e-329, 3.3825882731698496132e-315, 1.6533147836357664935e-278, 3.8849464184552805965e-225, 8.828816401955977355e-236, 5.0926700738551035634e-301, 2.855833405955248722e-373, 1.5733261354798295626e-144]",1.0488840903198864e-145,15
teddy thomas l ailier français marqueur d un essai époustouflante envolée,"[3.8668766221610358138e-302, 4.907036263724573428e-236, 2.4247681335452649178e-450, 3.7743112540838234278e-202, 5.761770518501746307e-283, 8.57780987827299483e-241, 5.3401455582199799716e-324, 1.1198885968676440977e-180, 4.3429732776252724667e-256, 1.5362302085174078061e-328, 9.799704456322759654e-492]",1.0180805426069491e-181,11
johnatan sexton demi d ouverture irlandais a offert victoire fil l équipe trèfle grâce drop monumental dernière chance france irlande,"[1.1575081436086234606e-248, 1.9019773367031154403e-365, 1.3935419086204233354e-354, 5.69984844042148257e-436, 9.649462286400006249e-124, 1.4095303969231485324e-292, 4.3681001033878622022e-249, 2.9608297044325620184e-402, 5.9662951245189017055e-219, 5.9579814069811567604e-273, 3.9524951526871278144e-129, 1.0256124231288075148e-447, 7.51222618159870256e-283, 6.694517380321253722e-298, 3.5154073530109655244e-368, 3.745403510109392529e-267, 1.5527470945747552745e-421, 1.5349339819962555804e-372, 5.6086831533325097302e-204, 1.0274934097938074129e-366]",4.824750905675766e-125,20
voilà peu portaient ensemble maillot racing,"[1.657443362004698103e-181, 6.821358671843615882e-170, 5.4518700772622094503e-222, 5.2860880402475417758e-303, 1.2264098000832506723e-255, 1.8581174014947778797e-240]",1.1368931119766984e-170,6
sexton l enragé inspiré n abdique jamais oublia crampes faisaient jambes bois depuis dix minutes arracher gazon lourd stade france pluie têtue drop arrêts jeu,"[1.0574725079068432843e-192, 8.769985526728667338e-315, 1.4022044705710847828e-298, 5.9201314140543382313e-332, 2.0598379271327145111e-207, 3.1775567828364124437e-385, 4.4259654491567141803e-301, 2.2670554197502691739e-343, 8.7099523967693050684e-293, 1.3518596311891740724e-477, 1.4186601164104508617e-392, 1.5256222962757655783e-442, 2.5289443851318546634e-304, 5.933576638576607568e-426, 3.078038924264679626e-263, 3.3424294302797364939e-251, 1.3601758042356453131e-409, 1.3885673916332867326e-379, 2.0453421100220482446e-235, 8.2072858799287878824e-281, 1.0058928547808335163e-383, 2.952029234695801414e-413, 7.8336687309762885e-315, 5.6146767826940041624e-224, 1.6611493498913658722e-197]",4.229956477601377e-194,25
« scénario terrible » comme souligne tantinet groggy nouveau coach bleus jacques brunel,"[8.35777310787109576e-375, 7.098085001650223162e-258, 2.1292272985357735654e-243, 5.292687721909406254e-349, 2.8029917138248709154e-460, 3.0955081912801953795e-287, 8.260098540317758438e-212, 1.4891153982041482973e-298, 1.4839825981435001887e-409, 1.2453280969665073676e-254, 6.901540066925315535e-366, 3.7890304216884524918e-294, 2.3576824598537396052e-398]",6.353921954090583e-213,13
car après l essai teddy thomas seul tellement cadenassé irlandais paraissaient assommés bon,"[3.741515935268415282e-263, 9.871758180247017593e-284, 1.2123035461607488733e-327, 4.1048871700276690588e-291, 3.2683190750912188283e-184, 1.517022144218369782e-213, 5.9025684958864183416e-390, 2.7334303253925072313e-381, 3.2646965994471669488e-157, 6.119605520808080624e-291, 1.2905173999369041983e-247, 9.5318139889980381854e-380, 1.193805110083527502e-282]",2.5113050764978208e-158,13
parles,[1.0361706311992250542e-371],0.0,1
comme seul homme alors allions entrer arrêts jeu joueurs l entraîneur joe schmidt imperturbables repris patiente très disciplinée progression balle mains,"[2.1751023858760137782e-199, 1.8547023096073248296e-322, 4.1030683841071800505e-216, 1.8875783195263131559e-190, 1.0902979951843540813e-303, 1.42932846142568268e-340, 4.4672783337990842536e-214, 1.3005922401168521272e-278, 6.2742776972931858344e-305, 4.008241314240735505e-351, 1.3455102492286726534e-325, 4.834342938473523582e-433, 7.904152298198403184e-175, 4.48291360329864568e-256, 2.6929826271824684992e-313, 4.407585218424465447e-323, 1.2343288145614616216e-422, 2.2421979133776733401e-371, 1.3290943900688945852e-242, 9.425602632071159532e-330, 7.0282845337009620923e-230]",3.7638820467611455e-176,21
petits tas ci percussion groupée là passe deux quand temps autre,"[6.730812943047205871e-378, 3.4777458350686434868e-289, 1.5296897948494578998e-329, 1.4003005373404026001e-348, 2.214825234345011381e-403, 4.259317642871028151e-317, 1.2393929721166755044e-275, 5.450683993854418637e-449, 1.3117522907535459387e-466, 6.8531789868398444485e-335, 1.1401658580839508328e-413]",1.1267208837424638e-276,11
« trèfle and go » aussi enivrant qu un rapport cour comptes,"[3.3619709855779942512e-290, 9.412486522413381297e-357, 3.0124932877343785696e-319, 7.9395744141379919705e-315, 4.9861018438918896645e-265, 2.9379437298730783877e-358, 3.536262223360501309e-192, 1.506103312372809864e-169, 2.5913969458633716184e-294, 9.358376739026493744e-422, 1.9597587104848291142e-315, 8.885721167458947507e-306]",1.2550860936440082e-170,12
ribambelle temps jeu d avancée plus tard sexton joua vatout porta drop l estocade,"[1.044424779175846481e-179, 1.6020410702986665348e-461, 8.6273616588740694496e-275, 2.2234046515627634505e-171, 7.097395513564426528e-406, 3.3495811373637963472e-262, 2.673689363841708248e-277, 2.2996876281888459804e-252, 5.9447778475417725915e-176, 2.1782363833358593687e-475, 9.9852651274821328423e-138, 2.7749167580103346086e-260, 7.2176173530801736846e-376, 3.895841194752593707e-432]",7.132332233915809e-139,14
second dernier trait lumière l essai tout jambes vista thomas,"[2.198743975598972477e-233, 3.946583103868514745e-273, 9.1770566406717790416e-77, 6.494398016081643039e-477, 5.9013618648658367776e-283, 5.396102732037074218e-343, 1.2745663820904276169e-206, 1.1200462738301145204e-405, 2.8778451557817242678e-177, 2.8232889443464514598e-195]",9.177056640671778e-78,10
français brunel certes soutenu l échange premier match très attendu l,"[7.234803929617003459e-182, 6.1339013240896086714e-367, 9.0801452840280550814e-91, 6.671107948885460049e-284, 1.2770259917319937421e-238, 2.4061047453333519593e-396, 1.4377357737091475037e-175, 1.01473116141247449483e-345, 1.8936317634882184666e-361, 5.0556745983146705043e-390, 1.3554287132983338213e-213]",8.254677530934595e-92,11
clair bleus défendu becs ongles encaissé moindre essai,"[5.1184257117904060483e-230, 3.901202381450659268e-356, 8.095758749249666237e-448, 8.7543135282055671366e-181, 1.2359723806300292723e-236, 6.859294668575475798e-182, 4.5257170279880626945e-529, 2.9027836220664248579e-220]",1.1800303743828894e-181,8
n ont pu qu endiguer non réellement répliquer ni développer jeu,"[1.8709224691695296058e-229, 1.6682865363975808962e-470, 9.04428507115746646e-384, 5.3231025336857040767e-213, 6.679550786259421089e-345, 1.566600343768103823e-115, 3.6215800970901564147e-470, 2.020108788661848014e-210, 1.5072914464294338204e-238, 7.7565814474763015914e-271, 1.0838742095900260912e-430]",1.424182130698276e-116,11
drop assommoir sexton certes méchant coup destin,"[1.50943909126648893555e-285, 3.5280797629868354648e-338, 6.715076683680741583e-326, 1.1574983779222033877e-359, 4.2898474544112790765e-199, 6.1763663344251310175e-98, 3.6729947810223617814e-226]",8.823380477750187e-99,7
cet ultime avatar reste avant tout assis l immense confiance diables verts accumulée maîtrise rugby l emprise pression qu ils maintenues français inévitablement poussés faute,"[6.40521860932863534e-352, 8.454009033149738303e-136, 1.4180466649397716756e-301, 1.913856534804077664e-252, 1.7935478489794567274e-243, 5.7182715369416446127e-285, 1.3142907613347550011e-206, 1.0177726642482653912e-319, 5.084679737420347485e-369, 7.829196576453303e-172, 2.5663024703202041197e-146, 4.985522785670020548e-156, 1.4494894706288462343e-338, 2.4537716750918638682e-238, 1.595795458149669155e-276, 5.3464908021651222806e-170, 1.1478968043115601185e-338, 2.0673537403792968337e-277, 9.157908278397547279e-112, 6.3143664330724006305e-381, 4.2898727615939752708e-378, 1.3140787387311730817e-185, 2.0161445963254616793e-229, 1.1432130070249751534e-156, 4.4705018523681468345e-370]",3.6631633113590187e-113,25
irlandais jouent,"[7.2933897925371448365e-239, 1.135900880758386247e-114]",5.679504403791931e-115,2
contre vents marées,"[3.870278662725357282e-211, 1.5929873490759431491e-245, 3.3166836509374520437e-289]",1.2900928875751192e-211,3
