comment_sentences,word_mover_distance,useful_wmd
c’est juste c’est bien malheureusement depuis moment rengaine toujours parlé blog l’intelligence situationnelle donc ainsi muscle plus important cerveau  celui joueurs l’equipe ,1.4231302908926269,1
c’est tellement grossier j’ai mal croire voir cette équipe jouée selon accoceberi faudrait avoir 5 kilos moins 3kmh plus selon berbizier passages mayotte réunion fait perdre temps l’acclimatation l’altitude johannesburg passage 26 35 joueurs 10 3 matchs meilleure façon former groupe ,1.077094091095997,1
hors mis apparente gentillesse politesse commentaires certainement plus envers guy noves trouve cette situation assez pitoyable part ffr ,1.5534611458007617,1
sports combats rapportent mediallies judo premier sport collectif plus performant plus proche rugby handball personne a haut niveau arcanes pouvoir ffr peut trouve l’idée faire cohabiter taupe 14 l’image rugby français marre  ,1.555590061089295,1
prend fans assez d’accord poste assez ancien o villepreux oui laporte c’est tout vers l’amateurisme puisque c’est final forme gestion pros comme nases commes amateurs  amateurs gerent 10xfois mieux leurs équipes passage ,1.5596592228803865,1
nul allez rebaptisez grenouilles faire bouffer garder beau maillot rouge orangé comme ça sait c’est chantier bon moment ,1.7950456767394507,1
accoceberi a raison ,3.602381068837921,0
énergie cinétique12 mv2 ,3.861353211864217,0
5 moins v 10  plus v 2 21  plus ,4.492648315722896,0
temps mis aller l’en but rattraper adversaire10  moins ,2.3988674456568697,0
temps bisons tracteurs terminé ,2.296738751663811,0
contre attention autos tamponneuses ,2.6251299941771022,0
 ,inf,0
qu’estce permet dire qu’une perte poids 5 permet augmentation vitesse 10 rien… sprinters vont plus vite prenant muscle donc poids… ,1.8997310379218468,1
confondre poids muscle  ,2.829311892149195,0
muscle sic l’équipe france  ,2.6077979006401955,0
vois télévision spedding  confondre speeding  cela n’a rien voir ,2.5039262415582004,0
atonio l’homme plus lourd sic coupe monde  ,2.8479117933587363,0
a tant fait rigoler public  ,3.1744202662272545,0
faire vouloir maigrir gars là inutile faut remplacer ,2.9191701947287885,0
